google_types;rmw_cat;
accounting;;
airport;commerces;
amusement_park;sport_loisir_culture;
aquarium;sport_loisir_culture;
art_gallery;sport_loisir_culture;
atm;banque;
bakery;boulangerie;
bank;banque;
bar;cafe_hotel;
beauty_salon;sante;
bicycle_store;sport_loisir_culture;
book_store;sport_loisir_culture;
bowling_alley;sport_loisir_culture;
bus_station;transport;
cafe;cafe_hotel;
campground;sport_loisir_culture;
car_dealer;transport;
car_rental;transport;
car_repair;transport;
car_wash;transport;
casino;cafe_hotel;
cemetery;;
church;;
city_hall;sport_loisir_culture;
clothing_store;vetements;
convenience_store;transport;
courthouse;;
dentist;sante;
department_store;commerces;
doctor;sante;
electrician;;
electronics_store;maison;
embassy;;
establishment;;
finance;;
fire_station;;
florist;commerces;
food;;food
funeral_home;;
furniture_store;maison;
gas_station;transport;
general_contractor;;
grocery_or_supermarket;commerces;
gym;sport_loisir_culture;
hair_care;sante;
hardware_store;sport_loisir_culture;
health;sante;
hindu_temple;;
home_goods_store;maison;
hospital;sante;
insurance_agency;;
jewelry_store;bijou;
laundry;commerces;
lawyer;;
library;sport_loisir_culture;
liquor_store;boissons;
local_government_office;;
locksmith;maison;
lodging;cafe_hotel;
meal_delivery;restaurant;
meal_takeaway;restaurant;
mosque;;
movie_rental;sport_loisir_culture;
movie_theater;sport_loisir_culture;
moving_company;maison;
museum;sport_loisir_culture;
night_club;cafe_hotel;
painter;maison;
park;sport_loisir_culture;
parking;transport;
pet_store;animaux;
pharmacy;sante;
physiotherapist;sante;
place_of_worship;;
plumber;maison;
police;;
post_office;commerces;
real_estate_agency;;
restaurant;restaurant;
roofing_contractor;maison;
rv_park;cafe_hotel;
school;enseignement;
shoe_store;vetements;
shopping_mall;commerces;
spa;sante;
stadium;sport_loisir_culture;
storage;maison;
store;;store
subway_station;transport;
synagogue;;
taxi_stand;transport;
train_station;transport;
travel_agency;sport_loisir_culture;
university;enseignement;
veterinary_care;animaux;
zoo;sport_loisir_culture;
